chain_id,arm,chain_idx,round,fact_idx,descriptor,code,position_frac,position_bucket,survived,mutated,mutant_token
A-1,A,1,5,15,build artifact hash prefix,SCME7XXQ,0.7654,late,0,0,
A-2,A,2,1,0,incident tracking number,C5TXG76Q,0.5827,middle,0,0,
A-2,A,2,1,1,container registry token,5BSM663A,0.4611,middle,1,0,
A-2,A,2,1,2,SSH deploy key label,RC3XZMH6,0.6427,middle,0,0,
A-2,A,2,1,3,session recovery nonce,8JZC8UH6,0.228,early,0,0,
A-2,A,2,1,4,monitoring dashboard UID,DFRYMYBU,0.2867,early,0,0,
A-2,A,2,1,5,nightly cron job identifier,H25223A6,0.8842,late,0,0,
A-2,A,2,1,6,message queue topic suffix,R6GRJEJW,0.524,middle,0,0,
A-2,A,2,1,7,feature flag rollout ID,QHX9HWNR,0.9416,late,0,0,
A-2,A,2,1,8,staging database password,4EKRSGHM,0.4002,middle,1,0,
A-2,A,2,1,9,production API key suffix,64ZFDU3X,0.1138,early,1,0,
A-2,A,2,1,10,rollback release tag,BXJVHAQM,0.0564,early,0,0,
A-2,A,2,1,11,license activation code,RP5U7VJF,0.1677,early,0,0,
A-2,A,2,1,12,TLS certificate serial fragment,T8SVCFB6,0.8259,late,0,0,
A-2,A,2,1,13,deploy ticket reference,ZTGY4WFP,0.702,late,0,0,
A-2,A,2,1,14,webhook signing secret,U4AZGEMK,0.3405,middle,1,0,
A-2,A,2,1,15,build artifact hash prefix,658G5J6W,0.7636,late,0,0,
A-2,A,2,2,0,incident tracking number,C5TXG76Q,0.5827,middle,0,0,
A-2,A,2,2,1,container registry token,5BSM663A,0.4611,middle,0,0,
A-2,A,2,2,2,SSH deploy key label,RC3XZMH6,0.6427,middle,0,0,
A-2,A,2,2,3,session recovery nonce,8JZC8UH6,0.228,early,0,0,
A-2,A,2,2,4,monitoring dashboard UID,DFRYMYBU,0.2867,early,0,0,
A-2,A,2,2,5,nightly cron job identifier,H25223A6,0.8842,late,0,0,
A-2,A,2,2,6,message queue topic suffix,R6GRJEJW,0.524,middle,0,0,
A-2,A,2,2,7,feature flag rollout ID,QHX9HWNR,0.9416,late,0,0,
A-2,A,2,2,8,staging database password,4EKRSGHM,0.4002,middle,0,0,
A-2,A,2,2,9,production API key suffix,64ZFDU3X,0.1138,early,0,0,
A-2,A,2,2,10,rollback release tag,BXJVHAQM,0.0564,early,0,0,
A-2,A,2,2,11,license activation code,RP5U7VJF,0.1677,early,0,0,
A-2,A,2,2,12,TLS certificate serial fragment,T8SVCFB6,0.8259,late,0,0,
A-2,A,2,2,13,deploy ticket reference,ZTGY4WFP,0.702,late,0,0,
A-2,A,2,2,14,webhook signing secret,U4AZGEMK,0.3405,middle,0,0,
A-2,A,2,2,15,build artifact hash prefix,658G5J6W,0.7636,late,0,0,
A-2,A,2,3,0,incident tracking number,C5TXG76Q,0.5827,middle,0,0,
A-2,A,2,3,1,container registry token,5BSM663A,0.4611,middle,0,0,
A-2,A,2,3,2,SSH deploy key label,RC3XZMH6,0.6427,middle,0,0,
A-2,A,2,3,3,session recovery nonce,8JZC8UH6,0.228,early,0,0,
A-2,A,2,3,4,monitoring dashboard UID,DFRYMYBU,0.2867,early,0,0,
A-2,A,2,3,5,nightly cron job identifier,H25223A6,0.8842,late,0,0,
A-2,A,2,3,6,message queue topic suffix,R6GRJEJW,0.524,middle,0,0,
A-2,A,2,3,7,feature flag rollout ID,QHX9HWNR,0.9416,late,0,0,
A-2,A,2,3,8,staging database password,4EKRSGHM,0.4002,middle,0,0,
A-2,A,2,3,9,production API key suffix,64ZFDU3X,0.1138,early,0,0,
A-2,A,2,3,10,rollback release tag,BXJVHAQM,0.0564,early,0,0,
A-2,A,2,3,11,license activation code,RP5U7VJF,0.1677,early,0,0,
A-2,A,2,3,12,TLS certificate serial fragment,T8SVCFB6,0.8259,late,0,0,
A-2,A,2,3,13,deploy ticket reference,ZTGY4WFP,0.702,late,0,0,
A-2,A,2,3,14,webhook signing secret,U4AZGEMK,0.3405,middle,0,0,
A-2,A,2,3,15,build artifact hash prefix,658G5J6W,0.7636,late,0,0,
A-2,A,2,4,0,incident tracking number,C5TXG76Q,0.5827,middle,0,0,
A-2,A,2,4,1,container registry token,5BSM663A,0.4611,middle,0,0,
A-2,A,2,4,2,SSH deploy key label,RC3XZMH6,0.6427,middle,0,0,
A-2,A,2,4,3,session recovery nonce,8JZC8UH6,0.228,early,0,0,
A-2,A,2,4,4,monitoring dashboard UID,DFRYMYBU,0.2867,early,0,0,
A-2,A,2,4,5,nightly cron job identifier,H25223A6,0.8842,late,0,0,
A-2,A,2,4,6,message queue topic suffix,R6GRJEJW,0.524,middle,0,0,
A-2,A,2,4,7,feature flag rollout ID,QHX9HWNR,0.9416,late,0,0,
A-2,A,2,4,8,staging database password,4EKRSGHM,0.4002,middle,0,0,
A-2,A,2,4,9,production API key suffix,64ZFDU3X,0.1138,early,0,0,
A-2,A,2,4,10,rollback release tag,BXJVHAQM,0.0564,early,0,0,
A-2,A,2,4,11,license activation code,RP5U7VJF,0.1677,early,0,0,
A-2,A,2,4,12,TLS certificate serial fragment,T8SVCFB6,0.8259,late,0,0,
A-2,A,2,4,13,deploy ticket reference,ZTGY4WFP,0.702,late,0,0,
A-2,A,2,4,14,webhook signing secret,U4AZGEMK,0.3405,middle,0,0,
A-2,A,2,4,15,build artifact hash prefix,658G5J6W,0.7636,late,0,0,
A-2,A,2,5,0,incident tracking number,C5TXG76Q,0.5827,middle,0,0,
A-2,A,2,5,1,container registry token,5BSM663A,0.4611,middle,0,0,
A-2,A,2,5,2,SSH deploy key label,RC3XZMH6,0.6427,middle,0,0,
A-2,A,2,5,3,session recovery nonce,8JZC8UH6,0.228,early,0,0,
A-2,A,2,5,4,monitoring dashboard UID,DFRYMYBU,0.2867,early,0,0,
A-2,A,2,5,5,nightly cron job identifier,H25223A6,0.8842,late,0,0,
A-2,A,2,5,6,message queue topic suffix,R6GRJEJW,0.524,middle,0,0,
A-2,A,2,5,7,feature flag rollout ID,QHX9HWNR,0.9416,late,0,0,
A-2,A,2,5,8,staging database password,4EKRSGHM,0.4002,middle,0,0,
A-2,A,2,5,9,production API key suffix,64ZFDU3X,0.1138,early,0,0,
A-2,A,2,5,10,rollback release tag,BXJVHAQM,0.0564,early,0,0,
A-2,A,2,5,11,license activation code,RP5U7VJF,0.1677,early,0,0,
A-2,A,2,5,12,TLS certificate serial fragment,T8SVCFB6,0.8259,late,0,0,
A-2,A,2,5,13,deploy ticket reference,ZTGY4WFP,0.702,late,0,0,
A-2,A,2,5,14,webhook signing secret,U4AZGEMK,0.3405,middle,0,0,
A-2,A,2,5,15,build artifact hash prefix,658G5J6W,0.7636,late,0,0,
A-3,A,3,1,0,production API key suffix,Q7KJPHFB,0.0523,early,0,0,
A-3,A,3,1,1,incident tracking number,QYRPCFU4,0.4647,middle,0,0,
A-3,A,3,1,2,SSH deploy key label,E8C5GA5T,0.5251,middle,0,0,
A-3,A,3,1,3,monitoring dashboard UID,V7MEYQYJ,0.937,late,0,0,
A-3,A,3,1,4,nightly cron job identifier,F76UY394,0.1143,early,0,0,
A-3,A,3,1,5,container registry token,3CNSYPKY,0.405,middle,0,0,
A-3,A,3,1,6,build artifact hash prefix,XUUZB5G7,0.7071,late,0,0,
A-3,A,3,1,7,license activation code,7J6PJQJX,0.7665,late,0,0,
A-3,A,3,1,8,staging database password,PE4CWYWY,0.2257,early,0,0,
A-3,A,3,1,9,TLS certificate serial fragment,6YRRHWJN,0.822,late,0,0,
A-3,A,3,1,10,rollback release tag,86RDGGAX,0.2848,early,0,0,
A-3,A,3,1,11,message queue topic suffix,5HBBS363,0.3439,middle,0,0,
A-3,A,3,1,12,S3 backup bucket suffix,42S49WY4,0.1688,early,0,0,
A-3,A,3,1,13,feature flag rollout ID,9FRBX6YW,0.645,middle,0,0,
A-3,A,3,1,14,VPN gateway auth token,YRR7ZJMT,0.5846,middle,0,0,
A-3,A,3,1,15,session recovery nonce,9BRT6YGW,0.8766,late,0,0,
A-3,A,3,2,0,production API key suffix,Q7KJPHFB,0.0523,early,0,0,
A-3,A,3,2,1,incident tracking number,QYRPCFU4,0.4647,middle,0,0,
A-3,A,3,2,2,SSH deploy key label,E8C5GA5T,0.5251,middle,0,0,
A-3,A,3,2,3,monitoring dashboard UID,V7MEYQYJ,0.937,late,0,0,
A-3,A,3,2,4,nightly cron job identifier,F76UY394,0.1143,early,0,0,
A-3,A,3,2,5,container registry token,3CNSYPKY,0.405,middle,0,0,
A-3,A,3,2,6,build artifact hash prefix,XUUZB5G7,0.7071,late,0,0,
A-3,A,3,2,7,license activation code,7J6PJQJX,0.7665,late,0,0,
A-3,A,3,2,8,staging database password,PE4CWYWY,0.2257,early,0,0,
A-3,A,3,2,9,TLS certificate serial fragment,6YRRHWJN,0.822,late,0,0,
A-3,A,3,2,10,rollback release tag,86RDGGAX,0.2848,early,0,0,
A-3,A,3,2,11,message queue topic suffix,5HBBS363,0.3439,middle,0,0,
A-3,A,3,2,12,S3 backup bucket suffix,42S49WY4,0.1688,early,0,0,
A-3,A,3,2,13,feature flag rollout ID,9FRBX6YW,0.645,middle,0,0,
A-3,A,3,2,14,VPN gateway auth token,YRR7ZJMT,0.5846,middle,0,0,
A-3,A,3,2,15,session recovery nonce,9BRT6YGW,0.8766,late,0,0,
A-3,A,3,3,0,production API key suffix,Q7KJPHFB,0.0523,early,0,0,
A-3,A,3,3,1,incident tracking number,QYRPCFU4,0.4647,middle,0,0,
A-3,A,3,3,2,SSH deploy key label,E8C5GA5T,0.5251,middle,0,0,
A-3,A,3,3,3,monitoring dashboard UID,V7MEYQYJ,0.937,late,0,0,
A-3,A,3,3,4,nightly cron job identifier,F76UY394,0.1143,early,0,0,
A-3,A,3,3,5,container registry token,3CNSYPKY,0.405,middle,0,0,
A-3,A,3,3,6,build artifact hash prefix,XUUZB5G7,0.7071,late,0,0,
A-3,A,3,3,7,license activation code,7J6PJQJX,0.7665,late,0,0,
A-3,A,3,3,8,staging database password,PE4CWYWY,0.2257,early,0,0,
A-3,A,3,3,9,TLS certificate serial fragment,6YRRHWJN,0.822,late,0,0,
A-3,A,3,3,10,rollback release tag,86RDGGAX,0.2848,early,0,0,
A-3,A,3,3,11,message queue topic suffix,5HBBS363,0.3439,middle,0,0,
A-3,A,3,3,12,S3 backup bucket suffix,42S49WY4,0.1688,early,0,0,
A-3,A,3,3,13,feature flag rollout ID,9FRBX6YW,0.645,middle,0,0,
A-3,A,3,3,14,VPN gateway auth token,YRR7ZJMT,0.5846,middle,0,0,
A-3,A,3,3,15,session recovery nonce,9BRT6YGW,0.8766,late,0,0,
A-3,A,3,4,0,production API key suffix,Q7KJPHFB,0.0523,early,0,0,
A-3,A,3,4,1,incident tracking number,QYRPCFU4,0.4647,middle,0,0,
A-3,A,3,4,2,SSH deploy key label,E8C5GA5T,0.5251,middle,0,0,
A-3,A,3,4,3,monitoring dashboard UID,V7MEYQYJ,0.937,late,0,0,
A-3,A,3,4,4,nightly cron job identifier,F76UY394,0.1143,early,0,0,
A-3,A,3,4,5,container registry token,3CNSYPKY,0.405,middle,0,0,
A-3,A,3,4,6,build artifact hash prefix,XUUZB5G7,0.7071,late,0,0,
A-3,A,3,4,7,license activation code,7J6PJQJX,0.7665,late,0,0,
A-3,A,3,4,8,staging database password,PE4CWYWY,0.2257,early,0,0,
A-3,A,3,4,9,TLS certificate serial fragment,6YRRHWJN,0.822,late,0,0,
A-3,A,3,4,10,rollback release tag,86RDGGAX,0.2848,early,0,0,
A-3,A,3,4,11,message queue topic suffix,5HBBS363,0.3439,middle,0,0,
A-3,A,3,4,12,S3 backup bucket suffix,42S49WY4,0.1688,early,0,0,
A-3,A,3,4,13,feature flag rollout ID,9FRBX6YW,0.645,middle,0,0,
A-3,A,3,4,14,VPN gateway auth token,YRR7ZJMT,0.5846,middle,0,0,
A-3,A,3,4,15,session recovery nonce,9BRT6YGW,0.8766,late,0,0,
A-3,A,3,5,0,production API key suffix,Q7KJPHFB,0.0523,early,0,0,
A-3,A,3,5,1,incident tracking number,QYRPCFU4,0.4647,middle,0,0,
A-3,A,3,5,2,SSH deploy key label,E8C5GA5T,0.5251,middle,0,0,
A-3,A,3,5,3,monitoring dashboard UID,V7MEYQYJ,0.937,late,0,0,
A-3,A,3,5,4,nightly cron job identifier,F76UY394,0.1143,early,0,0,
A-3,A,3,5,5,container registry token,3CNSYPKY,0.405,middle,0,0,
A-3,A,3,5,6,build artifact hash prefix,XUUZB5G7,0.7071,late,0,0,
A-3,A,3,5,7,license activation code,7J6PJQJX,0.7665,late,0,0,
A-3,A,3,5,8,staging database password,PE4CWYWY,0.2257,early,0,0,
A-3,A,3,5,9,TLS certificate serial fragment,6YRRHWJN,0.822,late,0,0,
A-3,A,3,5,10,rollback release tag,86RDGGAX,0.2848,early,0,0,
A-3,A,3,5,11,message queue topic suffix,5HBBS363,0.3439,middle,0,0,
A-3,A,3,5,12,S3 backup bucket suffix,42S49WY4,0.1688,early,0,0,
A-3,A,3,5,13,feature flag rollout ID,9FRBX6YW,0.645,middle,0,0,
A-3,A,3,5,14,VPN gateway auth token,YRR7ZJMT,0.5846,middle,0,0,
A-3,A,3,5,15,session recovery nonce,9BRT6YGW,0.8766,late,0,0,
A-4,A,4,1,0,staging database password,SFDSZ8ET,0.1126,early,0,0,
A-4,A,4,1,1,rollback release tag,VHW5F9Q4,0.8792,late,0,0,
A-4,A,4,1,2,customer account reference,2Z6SNV6T,0.5817,middle,0,0,
A-4,A,4,1,3,S3 backup bucket suffix,E9KAKZK2,0.6378,middle,0,0,
A-4,A,4,1,4,message queue topic suffix,24BRC24B,0.4024,middle,0,0,
A-4,A,4,1,5,deploy ticket reference,MEZ8Q6EG,0.1727,early,1,0,
A-4,A,4,1,6,incident tracking number,4E3JUER7,0.4625,middle,1,0,
A-4,A,4,1,7,TLS certificate serial fragment,CVBNHYGP,0.3463,middle,0,0,
A-4,A,4,1,8,nightly cron job identifier,8HGYK8N8,0.2281,early,0,0,
A-4,A,4,1,9,container registry token,W6S97JXS,0.522,middle,0,0,
A-4,A,4,1,10,on-call routing key,EWWD4GBS,0.9373,late,1,0,
A-4,A,4,1,11,VPN gateway auth token,5V2QZSW6,0.6999,late,0,0,
A-4,A,4,1,12,feature flag rollout ID,JYAFTVFN,0.2899,early,1,0,
A-4,A,4,1,13,build artifact hash prefix,XMWVSSQ4,0.824,late,0,0,
